Full Name,Political Party,Party Short,Twitter,Notes,Image_Adress
Kerim Rota,GELECEK Partisi,GELECEK,https://twitter.com/kerimrota,Ekonomi Politikaları Başkanı,../../images/partiler/gelecek.jpg
Mustafa Mente,GELECEK Partisi,GELECEK,https://twitter.com/mustafamente,İletişim Başkanı,../../images/partiler/gelecek.jpg
Serap Yazıcı,GELECEK Partisi,GELECEK,https://twitter.com/SerapProf,İnsan Hakları Başkanı,../../images/partiler/gelecek.jpg
Mehmet Ali Pulcu,GELECEK Partisi,GELECEK,https://twitter.com/AliPulcu,Parti İçi Eğitim Başkanı,../../images/partiler/gelecek.jpg
Ümit Yardım,GELECEK Partisi,GELECEK,https://twitter.com/umityardim1961,Dış İlişkiler Başkanı,../../images/partiler/gelecek.jpg
Sema Silkin Ün,GELECEK Partisi,GELECEK,https://twitter.com/SemaSilkin,Kültür ve Sanat Politikaları Başkanı,../../images/partiler/gelecek.jpg
Habibe Çiftçioğlu,GELECEK Partisi,GELECEK,https://twitter.com/Hbb_Ciftcioglu,Kadın Politikaları Başkanı,../../images/partiler/gelecek.jpg
Mustafa Gözel,GELECEK Partisi,GELECEK,https://twitter.com/BMustafaGozel,Gençlik Politikaları Başkanı,../../images/partiler/gelecek.jpg
Feramuz Üstün,GELECEK Partisi,GELECEK,https://twitter.com/feramuzustun,İdari ve Mali İşler Başkanı,../../images/partiler/gelecek.jpg
C. Kani Torun,GELECEK Partisi,GELECEK,https://twitter.com/torunkani,Genel Sekreter,../../images/partiler/gelecek.jpg
Serkan Özcan,GELECEK Partisi,GELECEK,https://twitter.com/serkanozcan1,Parti Sözcüsü,../../images/partiler/gelecek.jpg
Selahattin Demirtaş,Halkların Demokratik Partisi,HDP,https://twitter.com/hdpdemirtas,Eski Eş Genel Başkan,../../images/partiler/hdp.png
Figen Yüksekdağ,Halkların Demokratik Partisi,HDP,https://twitter.com/figenyuksekdag,Eski Eş Genel Başkan,../../images/partiler/hdp.png
Pervin Buldan,Halkların Demokratik Partisi,HDP,https://twitter.com/pervinbuldan,Eş Genel Başkan,../../images/partiler/hdp.png
Mithat Sancar,Halkların Demokratik Partisi,HDP,https://twitter.com/mithatsancarr,Eş Genel Başkan,../../images/partiler/hdp.png
Ayşe Acar Başaran,Halkların Demokratik Partisi,HDP,https://twitter.com/ayseacar_b,Kadın Meclisi Sözcüsü,../../images/partiler/hdp.png
Ebru Günay,Halkların Demokratik Partisi,HDP,https://twitter.com/av_ebrugunay,Parti Sözcüsü,../../images/partiler/hdp.png
Feleknas Uca,Halkların Demokratik Partisi,HDP,https://twitter.com/Feleknasuca,Dış İlişkiler Başkanı,../../images/partiler/hdp.png
Garo Paylan,Halkların Demokratik Partisi,HDP,https://twitter.com/GaroPaylan,Ekonomi Başkanı,../../images/partiler/hdp.png
Hakkı Saruhan Oluç,Halkların Demokratik Partisi,HDP,https://twitter.com/SaruhanOluc,Grup Başkanvekili,../../images/partiler/hdp.png
İlknur Birol,Halkların Demokratik Partisi,HDP,https://twitter.com/ilknur_Birol,Seçim İşleri Başkanı,../../images/partiler/hdp.png
Mahfuz Güleryüz,Halkların Demokratik Partisi,HDP,https://twitter.com/GuleryuzMahfuz,Merkezi Örgütlenme Başkanı,../../images/partiler/hdp.png
Meral Danış Beştaş,Halkların Demokratik Partisi,HDP,https://twitter.com/meraldanis,Grup Başkanvekili,../../images/partiler/hdp.png
Musa Piroğlu,Halkların Demokratik Partisi,HDP,https://twitter.com/musaproglu,Engelliler Başkanı,../../images/partiler/hdp.png
Naci Sönmez,Halkların Demokratik Partisi,HDP,https://twitter.com/sonmeznaci,Ekoloji Başkanı,../../images/partiler/hdp.png
"Salim Kaplan,Halkların Demokratik Partisi,HDP,https://twitter.com/salimkaplanhdp,""Dil, Kültür, Sanat, Spor ve Eğitim Politikaları Başkanı""",,,,,../../images/partiler/undefined.jpg
Samet Mengüç,Halkların Demokratik Partisi,HDP,https://twitter.com/drsametmenguc,Sağlık ve Sosyal Politikalar Başkanı,../../images/partiler/hdp.png
Sultan Özcan,Halkların Demokratik Partisi,HDP,https://twitter.com/sultanozcan38,STK ve Siyasi Partilerle İlişkiler Başkanı,../../images/partiler/hdp.png
Şaziye Köse,Halkların Demokratik Partisi,HDP,https://twitter.com/saziyekose59,Emek Başkanı,../../images/partiler/hdp.png
Tayip Temel,Halkların Demokratik Partisi,HDP,https://twitter.com/TayipTemel,Basın Yayın ve Propaganda Başkanı,../../images/partiler/hdp.png
Tuncer Bakırhan,Halkların Demokratik Partisi,HDP,https://twitter.com/tuncerbakirhan,STK ve Siyasi Partilerle İlişkiler Başkanı,../../images/partiler/hdp.png
Ümit Dede,Halkların Demokratik Partisi,HDP,https://twitter.com/UmutDede16,Hukuk ve İnsan Hakları Başkanı,../../images/partiler/hdp.png
Veli Saçılık,Halkların Demokratik Partisi,HDP,https://twitter.com/velisacilik,Göçmen ve Mülteciler Başkanı,../../images/partiler/hdp.png
Yunus Parım,Halkların Demokratik Partisi,HDP,https://twitter.com/YunusPARIM,Demokratik Yerel Yönetimler Başkanı,../../images/partiler/hdp.png
Meral Akşener,IYI Parti,IYI,https://twitter.com/meral_aksener,Genel Başkan,../../images/partiler/iyi.png
Koray Aydın,IYI Parti,IYI,https://twitter.com/korayaydintr,Siyasi İşler Başkanı,../../images/partiler/iyi.png
Uğur Poyraz,IYI Parti,IYI,https://twitter.com/UGUR__POYRAZ,Genel Sekreter,../../images/partiler/iyi.png
Ümit Dikbayır,IYI Parti,IYI,https://twitter.com/UmitDikbayir,Mali İşler Bakanı,../../images/partiler/iyi.png
Bahadır Erdem,IYI Parti,IYI,https://twitter.com/BBahadirErdem,Hukuk ve Adalet Politikaları Başkanı,../../images/partiler/iyi.png
Şenol Sunat,IYI Parti,IYI,https://twitter.com/senolsunat,Seçim İşleri Başkanı,../../images/partiler/iyi.png
Ahmet Kamil Erozan,IYI Parti,IYI,https://twitter.com/Ahmet_Erozan,Uluslararası Politikalar Başkanı,../../images/partiler/iyi.png
Rıdvan Uz,IYI Parti,IYI,https://twitter.com/ridvanuz17,Yurtdışı Türkler Başkanı,../../images/partiler/iyi.png
Mehmet Salim Ensarioğlu,IYI Parti,IYI,https://twitter.com/SalimEnsarioglu,Ortadoğu Politikaları Başkanı,../../images/partiler/iyi.png
Metin Ergün,IYI Parti,IYI,https://twitter.com/MetinErgun48,Yerel Yönetimler Başkanı,../../images/partiler/iyi.png
Bilge Yılmaz,IYI Parti,IYI,https://twitter.com/ProfBilgeYilmaz,Ekonomi Politikaları Başkanı,../../images/partiler/iyi.png
Mehmet Tolga Akalın,IYI Parti,IYI,https://twitter.com/avtolgaakalin,Milli Güvenlik Politikaları Başkanı,../../images/partiler/iyi.png
Ümit Özlale,IYI Parti,IYI,https://twitter.com/UmitOzlale,Kalkınma Politikaları Başkanı,../../images/partiler/iyi.png
Sevinç Atabay,IYI Parti,IYI,https://twitter.com/SevincAtabay,Eğitim Politikaları Başkanı,../../images/partiler/iyi.png
Ünzile Yüksel,IYI Parti,IYI,https://twitter.com/avunzileyuksel,Kadın Politikaları Başkanı,../../images/partiler/iyi.png
Burak Akburak,IYI Parti,IYI,https://twitter.com/Akburak,STK İlişkileri Başkanı,../../images/partiler/iyi.png
Muharrem İnce,MEMLEKET Partisi,MEMLEKET,https://twitter.com/vekilince,Genel Başkan,../../images/partiler/memleket.png
Devlet Bahçeli,Miliyetçi Hareket Partisi,MHP,https://twitter.com/dbdevletbahceli,Genel Başkan,../../images/partiler/mhp.png
Edip Semih Yalçın,Miliyetçi Hareket Partisi,MHP,https://twitter.com/E_SemihYalcin,Teşkilat İşleri Başkanı,../../images/partiler/mhp.png
Fethi Yıldız,Miliyetçi Hareket Partisi,MHP,https://twitter.com/yildizfeti,Hukuk ve Seçim İşleri Başkanı,../../images/partiler/mhp.png
"Mustafa Kalaycı,Miliyetçi Hareket Partisi,MHP,https://twitter.com/mkalayci42,""Siyasi İşler, Parlamanto ve Hükûmet İşleri Başkanı""",,,,,../../images/partiler/undefined.jpg
